제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
리벤토콰르텟 2025 정기연주회,2025-04-23,2025-04-23,실내악,리드예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73718
2025 서울스프링실내악축제 개막 공연,2025-04-22,2025-04-22,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69714
트리오 클랑아이넨 리사이틀,2025-04-22,2025-04-22,클래식,레드체어 예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=74129
제11회 대한민국국제포토페스티벌,2025-04-22,2025-04-27,전시,하얀나무,대관,"한가람디자인미술관제1전시실,한가람디자인미술관제1전시실,한가람디자인미술관제1전시실",https://www.sac.or.kr/site/main/show/show_view?SN=72941
방인주 피아노 독주회,2025-04-22,2025-04-22,독주,이든예술기획 주식회사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69787
낭만주의 거장 <라흐마니노프>,2025-04-22,2025-04-22,클래식,(사)밀레니엄심포니오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=74633
가온 솔로이스츠 제5회 정기연주회 ,2025-04-20,2025-04-20,클래식,문화예술단체 가온,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69660
이수빈 피아노 독주회,2025-04-20,2025-04-20,독주,예인예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=72303
스케치 정기연주회 ⅩⅥ,2025-04-20,2025-04-20,성악,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70148
김영은 첼로 독주회,2025-04-20,2025-04-20,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70147
2025 예술의전당 교향악축제 - 경기필하모닉오케스트라(4.20),2025-04-20,2025-04-20,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66234
베이스 김대영 독창회,2025-04-19,2025-04-19,성악,영음예술기획,대관,"IBK기업은행챔버홀,IBK기업은행챔버홀",https://www.sac.or.kr/site/main/show/show_view?SN=70149
최경은 첼로 독주회,2025-04-19,2025-04-19,독주,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70310
이정은 피아노 독주회<베토벤 피아노 소나타 전곡시리즈 4>,2025-04-19,2025-04-19,클래식,레인보우브릿지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69715
안명주 플루트 독주회,2025-04-19,2025-04-19,독주,플룻샵,대관,"리사이틀홀,리사이틀홀",https://www.sac.or.kr/site/main/show/show_view?SN=70081
성민우 개인전 - 찬란한 풍경,2025-04-19,2025-04-27,전시,성민우 스튜디오,대관,한가람미술관제7전시실,https://www.sac.or.kr/site/main/show/show_view?SN=71524
2025 예술의전당 교향악축제 - 대구시립교향악단(4.19),2025-04-19,2025-04-19,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66235
유니버설발레단 <지젤>,2025-04-18,2025-04-27,발레,(재)효정한국문화재단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=71400
정재원 피아노 리사이틀 <해설이 있는 베토벤 소나타 전곡시리즈 3: `Path?tique(비창)`>,2025-04-18,2025-04-18,독주,코바기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70082
전재성 바이올린 독주회,2025-04-18,2025-04-18,클래식,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=75468
유세형 피아노 독주회,2025-04-18,2025-04-18,클래식,라벨예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70453
2025 예술의전당 교향악축제 - 서울시립교향악단(4.18),2025-04-18,2025-04-18,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66236
소프라노 김유미 리사이틀,2025-04-17,2025-04-17,성악,이든예술기획 주식회사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69788
최민혜 피아노 독주회,2025-04-17,2025-04-17,독주,지클레프,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73929
유성호 피아노 리사이틀,2025-04-17,2025-04-17,독주,네오아르케아티스트그룹,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69661
2025 예술의전당 교향악축제 - 부산시립교향악단(4.17),2025-04-17,2025-04-17,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66237
2025 예술의전당 교향악축제 - 진주시립교향악단(4.16),2025-04-16,2025-04-16,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66238
화음챔버오케스트라 `현장음악2002`,2025-04-16,2025-04-16,클래식,(사)화음,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=72456
코펙스 챔버 실내악 시리즈,2025-04-16,2025-04-16,실내악,영음예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73796
유성민 바이올린 독주회,2025-04-16,2025-04-16,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70311
박노을 첼로 독주회,2025-04-15,2025-04-15,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70454
홍인표 귀국 클라리넷 독주회,2025-04-15,2025-04-15,독주,영음예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73797
2025 예술의전당 교향악축제 - 제주특별자치도립제주교향악단(4.15),2025-04-15,2025-04-15,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66239
2025 브리즈 아트페어,2025-04-15,2025-04-20,전시,주식회사 에이컴퍼니,대관,"한가람미술관제3전시실,한가람미술관제3전시실,한가람미술관제3전시실,한가람미술관제3전시실",https://www.sac.or.kr/site/main/show/show_view?SN=71541
주희성 & 노유리 피아노 듀오 리사이틀,2025-04-13,2025-04-13,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70455
정의경 피아노 독주회,2025-04-13,2025-04-13,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70312
안영신 첼로 독주회,2025-04-13,2025-04-13,독주,예인예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70313
Spirit of SNU Strings XIII,2025-04-13,2025-04-13,실내악,클래포트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=72098
2025 예술의전당 교향악축제 - 전주시립교향악단(4.13),2025-04-13,2025-04-13,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66260
2025 예술의전당 교향악축제 - 대전시립교향악단(4.12),2025-04-12,2025-04-12,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66261
노모스 트리오,2025-04-12,2025-04-12,클래식,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=72457
제2회 최강듀오 정기연주회,2025-04-12,2025-04-12,실내악,케이앤프렌즈,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=71663
박수원 하프 독주회,2025-04-12,2025-04-12,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=72344
바이올리니스트 윤유경의 콘체르토 시리즈 3 - 비발디,2025-04-12,2025-04-12,클래식,가온클래식,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=75202
"멘델스존, 바흐를 만나다",2025-04-12,2025-04-12,클래식,(주)스톰프뮤직,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70150
김세준 비올라 리사이틀,2025-04-11,2025-04-11,클래식,주식회사 프레스토컴퍼니,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69954
이승연 피아노 독주회,2025-04-11,2025-04-11,독주,CLASSICO,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73705
윤철희 & 송은주 듀오 리사이틀 ,2025-04-11,2025-04-11,클래식,음악교육신문사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69955
2025 예술의전당 교향악축제 - 부천필하모닉오케스트라(4.11),2025-04-11,2025-04-11,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66262
신미정 김수연 정선이 트리오 창단 30주년 기념 음악회,2025-04-10,2025-04-10,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70456
한국서예단체총연합회 특별기획전,2025-04-10,2025-05-10,서예,예술의전당,기획,"서울서예박물관제1전시실,서울서예박물관제1전시실,서울서예박물관제1전시실",https://www.sac.or.kr/site/main/show/show_view?SN=70083
피아니스트 최희연 베토벤 전곡 음반 발매 기념 리사이틀,2025-04-10,2025-04-10,독주,(주)스테이지원,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69662
피아노포르테의 추억 VII,2025-04-10,2025-04-10,클래식,신명진,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=72062
2025 예술의전당 교향악축제 - 국립심포니오케스트라(4.10),2025-04-10,2025-04-10,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66263
연극 <시련>,2025-04-09,2025-04-27,연극,(주)더블케이엔터테인먼트,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=67760
홍예경 피아노 독주회,2025-04-09,2025-04-09,독주,지클레프,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73930
한일 국교정상화 60주년 기념 연주 - 안종도 & 에나 우오타니 듀오 리사이틀,2025-04-09,2025-04-09,클래식,(주)더브릿지컴퍼니,대관,"IBK기업은행챔버홀,IBK기업은행챔버홀",https://www.sac.or.kr/site/main/show/show_view?SN=74682
정욱 클래식기타 독주회,2025-04-09,2025-04-09,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70152
2025 예술의전당 교향악축제 - 청주시립교향악단(4.9),2025-04-09,2025-04-09,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66264
왕혜진 첼로 독주회,2025-04-08,2025-04-08,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70153
